1;JPN;Japan
2;IDN;Indonesia
3;IND;India
4;PHL;Philippines
5;CHN;China
6;BRA;Brazil
7;KOR;Korea, South
8;MEX;Mexico
9;EGY;Egypt
10;RUS;Russia
11;THA;Thailand
12;ARG;Argentina
13;BGD;Bangladesh
14;NGA;Nigeria
15;TUR;Turkey
16;PAK;Pakistan
17;IRN;Iran
18;COD;Congo (Kinshasa)
19;VNM;Vietnam
20;FRA;France
21;GBR;United Kingdom
22;PER;Peru
23;COL;Colombia
24;AGO;Angola
25;MYS;Malaysia
26;HKG;Hong Kong
27;SDN;Sudan
28;CHL;Chile
29;SAU;Saudi Arabia
30;TZA;Tanzania
31;ESP;Spain
32;IRQ;Iraq
33;SGP;Singapore
34;KEN;Kenya
35;MMR;Myanmar
36;CAN;Canada
37;AUS;Australia
38;CIV;Côte D’Ivoire
39;ZAF;South Africa
40;MAR;Morocco
41;JOR;Jordan
42;AFG;Afghanistan
43;DEU;Germany
44;DZA;Algeria
45;BOL;Bolivia
46;ETH;Ethiopia
47;KWT;Kuwait
48;UKR;Ukraine
49;YEM;Yemen
50;ITA;Italy
51;PRK;Korea, North
52;TWN;Taiwan
53;ECU;Ecuador
54;MDG;Madagascar
55;DOM;Dominican Republic
56;ARE;United Arab Emirates
57;GTM;Guatemala
58;CMR;Cameroon
59;UZB;Uzbekistan
60;GHA;Ghana
61;AZE;Azerbaijan
62;ZWE;Zimbabwe
63;CUB;Cuba
64;KHM;Cambodia
65;SOM;Somalia
66;MLI;Mali
67;BLR;Belarus
68;VEN;Venezuela
69;SYR;Syria
70;KAZ;Kazakhstan
71;AUT;Austria
72;MWI;Malawi
73;ROU;Romania
74;PRY;Paraguay
75;COG;Congo (Brazzaville)
76;POL;Poland
77;BEL;Belgium
78;HUN;Hungary
79;ZMB;Zambia
80;GIN;Guinea
81;UGA;Uganda
82;BFA;Burkina Faso
83;NZL;New Zealand
84;OMN;Oman
85;NLD;Netherlands
86;MNG;Mongolia
87;SRB;Serbia
88;BGR;Bulgaria
89;CZE;Czechia
90;URY;Uruguay
91;QAT;Qatar
92;HND;Honduras
93;MOZ;Mozambique
94;SEN;Senegal
95;IRL;Ireland
96;RWA;Rwanda
97;LBY;Libya
98;GEO;Georgia
99;TCD;Chad
100;MRT;Mauritania
101;TUN;Tunisia
102;KGZ;Kyrgyzstan
103;TKM;Turkmenistan
104;NER;Niger
105;NIC;Nicaragua
106;LBR;Liberia
107;HTI;Haiti
108;NPL;Nepal
109;SWE;Sweden
110;ERI;Eritrea
111;SLE;Sierra Leone
112;ISR;Israel
113;CAF;Central African Republic
114;PAN;Panama
115;TGO;Togo
116;GAB;Gabon
117;HRV;Croatia
118;TJK;Tajikistan
119;BEN;Benin
120;LAO;Laos
121;LKA;Sri Lanka
122;NOR;Norway
123;GRC;Greece
124;BDI;Burundi
125;FIN;Finland
126;MKD;Macedonia
127;MDA;Moldova
128;LVA;Latvia
129;DNK;Denmark
130;JAM;Jamaica
131;LTU;Lithuania
132;SLV;El Salvador
133;DJI;Djibouti
134;PRT;Portugal
135;EST;Estonia
136;SVK;Slovakia
137;ALB;Albania
138;LBN;Lebanon
139;GNB;Guinea-Bissau
140;SSD;South Sudan
141;PNG;Papua New Guinea
142;LSO;Lesotho
143;CYP;Cyprus
144;NAM;Namibia
145;CRI;Costa Rica
146;SVN;Slovenia
147;BIH;Bosnia And Herzegovina
148;BHS;Bahamas, The
149;MTQ;Martinique
150;BWA;Botswana
151;SUR;Suriname
152;TLS;Timor-Leste
153;XKS;Kosovo
154;GUY;Guyana
155;GNQ;Equatorial Guinea
156;GIB;Gibraltar
157;REU;Reunion
158;MDV;Maldives
159;MNE;Montenegro
160;BHR;Bahrain
161;MUS;Mauritius
162;CUW;Curaçao
163;CHE;Switzerland
164;PYF;French Polynesia
165;ISL;Iceland
166;CPV;Cabo Verde
167;LUX;Luxembourg
168;BRB;Barbados
169;COM;Comoros
170;BTN;Bhutan
171;SWZ;Swaziland
172;NCL;New Caledonia
173;SLB;Solomon Islands
174;FJI;Fiji
175;LCA;Saint Lucia
176;GUF;French Guiana
177;STP;Sao Tome And Principe
178;VUT;Vanuatu
179;BMU;Bermuda
180;BRN;Brunei
181;MCO;Monaco
182;TTO;Trinidad And Tobago
183;WSM;Samoa
184;IMN;Isle Of Man
185;ABW;Aruba
186;JEY;Jersey
187;LIE;Liechtenstein
188;GMB;Gambia, The
189;MYT;Mayotte
190;MHL;Marshall Islands
191;KIR;Kiribati
192;CYM;Cayman Islands
193;SYC;Seychelles
194;VCT;Saint Vincent And The Grenadines
195;ATG;Antigua And Barbuda
196;TON;Tonga
197;AND;Andorra
198;GRL;Greenland
199;BLZ;Belize
200;DMA;Dominica
201;KNA;Saint Kitts And Nevis
202;FRO;Faroe Islands
203;ASM;American Samoa
204;MLT;Malta
205;XGZ;Gaza Strip
206;TCA;Turks And Caicos Islands
207;FSM;Micronesia, Federated States Of
208;TUV;Tuvalu
209;COK;Cook Islands
210;GRD;Grenada
211;SMR;San Marino
212;XWB;West Bank
213;MNP;Northern Mariana Islands
214;GLP;Guadeloupe
215;FLK;Falkland Islands (Islas Malvinas)
216;VAT;Vatican City
217;NIU;Niue
218;GUM;Guam
219;SHN;Saint Helena, Ascension, And Tristan Da Cunha
220;MAF;Saint Martin
221;SXM;Sint Maarten
222;VGB;Virgin Islands, British
223;BLM;Saint Barthelemy
224;SPM;Saint Pierre And Miquelon
225;AIA;Anguilla
226;WLF;Wallis And Futuna
227;NFK;Norfolk Island
228;PLW;Palau
229;ESH;Western Sahara
230;XSV;Svalbard
231;PCN;Pitcairn Islands
232;CXR;Christmas Island
233;MAC;Macau
234;PRI;Puerto Rico
235;SGS;South Georgia And South Sandwich Islands
